CRN,Subject,Department,Number,Section,Instructor,Days,Start Time,End Time,Building,Room,Campus,Class Type,Method,DP or IN,PoT,Actual,Max
30932,CHEM,CHEM,2141,253,"Rastogi, Shiva Kumar",_M_____,3:30 PM,6:20 PM,CHEM,229,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,16,16
30928,CHEM,CHEM,2141,254,"Rastogi, Shiva Kumar",__T____,9:30 AM,12:20 PM,CHEM,229,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,16,16
30935,CHEM,CHEM,2141,255,"Rastogi, Shiva Kumar",__T____,12:30 PM,3:20 PM,CHEM,229,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,15,16
30934,CHEM,CHEM,2141,256,"Rastogi, Shiva Kumar",__T____,3:30 PM,6:20 PM,CHEM,229,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,16,16
30938,CHEM,CHEM,2141,257,"Rastogi, Shiva Kumar",__T____,6:30 PM,9:20 PM,CHEM,229,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,15,16
30930,CHEM,CHEM,2141,258,"Rastogi, Shiva Kumar",___W___,8:00 AM,10:50 AM,CHEM,229,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,16,16
36503,CHEM,CHEM,2141,259,"Rastogi, Shiva Kumar",___W___,11:00 AM,1:50 PM,CHEM,229,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,16,16
36504,CHEM,CHEM,2141,260,"Rastogi, Shiva Kumar",___W___,2:00 PM,4:50 PM,CHEM,229,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,16,16
36505,CHEM,CHEM,2141,261,"Rastogi, Shiva Kumar",___W___,6:30 PM,9:20 PM,CHEM,229,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,15,16
31860,CHEM,CHEM,2141,263,"Rastogi, Shiva Kumar",____R__,11:00 AM,1:50 PM,CHEM,229,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,15,16
32318,CHEM,CHEM,2141,264,"Rastogi, Shiva Kumar",____R__,2:00 PM,4:50 PM,CHEM,229,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,16,16
33383,CHEM,CHEM,2141,265,"Rastogi, Shiva Kumar",_M_____,6:30 PM,9:20 PM,CHEM,229,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,14,16
40346,CHEM,CHEM,2141,267,"Rastogi, Shiva Kumar",____R__,8:00 AM,10:50 AM,CHEM,229,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,7,16
40347,CHEM,CHEM,2141,268,"Rastogi, Shiva Kumar",____R__,5:00 PM,7:50 PM,CHEM,229,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,13,16
33055,CHEM,CHEM,2142,251,"Rastogi, Shiva Kumar",_M_____,9:00 AM,11:50 AM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,16,16
30941,CHEM,CHEM,2142,252,"Rastogi, Shiva Kumar",_M_____,12:30 PM,3:20 PM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,15,16
30958,CHEM,CHEM,2142,253,"Rastogi, Shiva Kumar",_M_____,3:30 PM,6:20 PM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,16,16
30956,CHEM,CHEM,2142,254,"Rastogi, Shiva Kumar",__T____,9:30 AM,12:20 PM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,16,16
